L,H,Do,WP,FW,led,TF,TW,Elastic Load
4000,560,329,161.21,216,365.5,25,12,658.3
4000,560,329,161.21,216,365.5,15,15,578.4
4000,560,329,161.21,216,365.5,20,15,723.5
4000,560,329,161.21,216,365.5,25,15,867.6
4000,420,336,33.6,216,352,15,9,214.9
4000,420,336,33.6,216,352,20,9,242.6
4000,420,336,33.6,216,352,25,9,259.1
4000,420,336,33.6,216,352,15,12,346.0
4000,420,336,33.6,216,352,20,12,437.6
4000,420,336,33.6,216,352,25,12,514.9
4000,420,336,33.6,216,352,15,15,458.1
4000,420,336,33.6,216,352,20,15,582.6
4000,420,336,33.6,216,352,25,15,710.6
4000,420,336,97.44,216,100,15,9,267.5
4000,420,336,97.44,216,100,20,9,295.4
4000,420,336,97.44,216,100,25,9,310.2
4000,420,336,97.44,216,100,15,12,417.5
4000,420,336,97.44,216,100,20,12,523.0
4000,420,336,97.44,216,100,25,12,614.5
4000,420,336,97.44,216,100,15,15,521.6
4000,420,336,97.44,216,100,20,15,670.5
4000,420,336,97.44,216,100,25,15,815.4
4000,420,336,164.64,216,329,15,9,321.1
4000,420,336,164.64,216,329,20,9,392.5
4000,420,336,164.64,216,329,25,9,439.6
4000,420,336,164.64,216,329,15,12,454.0
4000,420,336,164.64,216,329,20,12,575.5
4000,420,336,164.64,216,329,25,12,692.6
4000,420,336,164.64,216,329,15,15,555.8
4000,420,336,164.64,216,329,20,15,718.1
4000,420,336,164.64,216,329,25,15,877.1
4000,420,280,28,216,12,15,9,216.0
4000,420,280,28,216,12,20,9,232.5
4000,420,280,28,216,12,25,9,240.7
4000,420,280,28,216,12,15,12,367.0
4000,420,280,28,216,12,20,12,458.3
4000,420,280,28,216,12,25,12,515.5
4000,420,280,28,216,12,15,15,480.7
4000,420,280,28,216,12,20,15,614.9
4000,420,280,28,216,12,25,15,750.7
4000,420,280,81.2,216,55,15,9,291.1
4000,420,280,81.2,216,55,20,9,327.9
4000,420,280,81.2,216,55,25,9,344.2
4000,420,280,81.2,216,55,15,12,436.5
4000,420,280,81.2,216,55,20,12,551.3
4000,420,280,81.2,216,55,25,12,658.1
4000,420,280,81.2,216,55,15,15,540.2
4000,420,280,81.2,216,55,20,15,698.1
4000,420,280,81.2,216,55,25,15,853.5
4000,420,280,137.2,216,192,15,9,331.5
4000,420,280,137.2,216,192,20,9,404.4
4000,420,280,137.2,216,192,25,9,449.1
4000,420,280,137.2,216,192,15,12,466.5
4000,420,280,137.2,216,192,20,12,593.3
4000,420,280,137.2,216,192,25,12,716.1
4000,420,280,137.2,216,192,15,15,568.0
4000,420,280,137.2,216,192,20,15,736.4
4000,420,280,137.2,216,192,25,15,902.6
4000,420,247,24.7,216,244.5,15,9,255.8
4000,420,247,24.7,216,244.5,20,9,331.8
4000,420,247,24.7,216,244.5,25,9,377.2
4000,420,247,24.7,216,244.5,15,12,386.9
4000,420,247,24.7,216,244.5,20,12,496.9
4000,420,247,24.7,216,244.5,25,12,616.5
4000,420,247,24.7,216,244.5,15,15,501.7
4000,420,247,24.7,216,244.5,20,15,642.6
4000,420,247,24.7,216,244.5,25,15,791.8
4000,420,247,71.63,216,281.5,15,9,315.6
4000,420,247,71.63,216,281.5,20,9,391.8
4000,420,247,71.63,216,281.5,25,9,444.0
4000,420,247,71.63,216,281.5,15,12,453.0
4000,420,247,71.63,216,281.5,20,12,576.2
4000,420,247,71.63,216,281.5,25,12,699.3
4000,420,247,71.63,216,281.5,15,15,558.8
4000,420,247,71.63,216,281.5,20,15,722.3
4000,420,247,71.63,216,281.5,25,15,885.7
4000,420,247,121.03,216,36.5,15,9,339.8
4000,420,247,121.03,216,36.5,20,9,406.7
4000,420,247,121.03,216,36.5,25,9,433.0
4000,420,247,121.03,216,36.5,15,12,474.9
4000,420,247,121.03,216,36.5,20,12,606.7
4000,420,247,121.03,216,36.5,25,12,734.3
4000,420,247,121.03,216,36.5,15,15,574.5
4000,420,247,121.03,216,36.5,20,15,748.5
4000,420,247,121.03,216,36.5,25,15,921.2
4000,700,560,56,270,488,15,9,159.1
4000,700,560,56,270,488,20,9,188.2
4000,700,560,56,270,488,25,9,200.4
4000,700,560,56,270,488,15,12,267.7
4000,700,560,56,270,488,20,12,359.5
4000,700,560,56,270,488,25,12,425.3
4000,700,560,56,270,488,15,15,409.7
4000,700,560,56,270,488,20,15,524.1
4000,700,560,56,270,488,25,15,661.3
4000,700,560,162.4,270,276,15,9,200.2
4000,700,560,162.4,270,276,20,9,223.9
4000,700,560,162.4,270,276,25,9,235.9
4000,700,560,162.4,270,276,15,12,365.6
4000,700,560,162.4,270,276,20,12,451.6
4000,700,560,162.4,270,276,25,12,507.0
4000,700,560,162.4,270,276,15,15,567.5
4000,700,560,162.4,270,276,20,15,688.7
4000,700,560,162.4,270,276,25,15,821.8
4000,700,560,274.4,270,52,15,9,216.4
4000,700,560,274.4,270,52,20,9,234.9
4000,700,560,274.4,270,52,25,9,245.4
4000,700,560,274.4,270,52,15,12,424.0
4000,700,560,274.4,270,52,20,12,495.6
4000,700,560,274.4,270,52,25,12,536.0
4000,700,560,274.4,270,52,15,15,657.0
4000,700,560,274.4,270,52,20,15,788.1
4000,700,560,274.4,270,52,25,15,911.9
4000,700,467,46.7,270,224.5,15,9,166.1
4000,700,467,46.7,270,224.5,20,9,209.2
4000,700,467,46.7,270,224.5,25,9,223.6
4000,700,467,46.7,270,224.5,15,12,278.2
4000,700,467,46.7,270,224.5,20,12,374.7
4000,700,467,46.7,270,224.5,25,12,465.1
4000,700,467,46.7,270,224.5,15,15,431.1
4000,700,467,46.7,270,224.5,20,15,544.2
4000,700,467,46.7,270,224.5,25,15,689.5
4000,700,467,135.43,270,562.5,15,9,228.4
4000,700,467,135.43,270,562.5,20,9,295.3
4000,700,467,135.43,270,562.5,25,9,328.9
4000,700,467,135.43,270,562.5,15,12,397.5
4000,700,467,135.43,270,562.5,20,12,503.5
4000,700,467,135.43,270,562.5,25,12,622.1
4000,700,467,135.43,270,562.5,15,15,611.3
4000,700,467,135.43,270,562.5,20,15,742.7
4000,700,467,135.43,270,562.5,25,15,899.1
4000,700,467,228.83,270,374.5,15,9,256.9
4000,700,467,228.83,270,374.5,20,9,315.6
4000,700,467,228.83,270,374.5,25,9,342.1
4000,700,467,228.83,270,374.5,15,12,455.2
4000,700,467,228.83,270,374.5,20,12,562.3
4000,700,467,228.83,270,374.5,25,12,675.5
4000,700,467,228.83,270,374.5,15,15,693.1
4000,700,467,228.83,270,374.5,20,15,834.2
4000,700,467,228.83,270,374.5,25,15,993.1
4000,700,412,41.2,270,435,15,9,178.2
4000,700,412,41.2,270,435,20,9,254.2
4000,700,412,41.2,270,435,25,9,314.1
4000,700,412,41.2,270,435,15,12,297.8
4000,700,412,41.2,270,435,20,12,400.8
4000,700,412,41.2,270,435,25,12,527.9
4000,700,412,41.2,270,435,15,15,462.7
4000,700,412,41.2,270,435,20,15,579.9
4000,700,412,41.2,270,435,25,15,734.7
4000,700,412,119.48,270,201,15,9,225.2
4000,700,412,119.48,270,201,20,9,270.1
4000,700,412,119.48,270,201,25,9,287.5
4000,700,412,119.48,270,201,15,12,402.6
4000,700,412,119.48,270,201,20,12,502.2
4000,700,412,119.48,270,201,25,12,598.0
4000,700,412,119.48,270,201,15,15,628.0
4000,700,412,119.48,270,201,20,15,755.4
4000,700,412,119.48,270,201,25,15,906.3
4000,700,412,201.88,270,566,15,9,270.8
4000,700,412,201.88,270,566,20,9,350.4
4000,700,412,201.88,270,566,25,9,410.3
4000,700,412,201.88,270,566,15,12,475.5
4000,700,412,201.88,270,566,20,12,588.7
4000,700,412,201.88,270,566,25,12,721.5
4000,700,412,201.88,270,566,15,15,719.8
4000,700,412,201.88,270,566,20,15,866.7
4000,700,412,201.88,270,566,25,15,1033.3
4000,560,448,44.8,270,297,15,9,176.9
4000,560,448,44.8,270,297,20,9,192.5
4000,560,448,44.8,270,297,25,9,203.1
4000,560,448,44.8,270,297,15,12,330.7
4000,560,448,44.8,270,297,20,12,406.3
4000,560,448,44.8,270,297,25,12,442.2
4000,560,448,44.8,270,297,15,15,503.8
4000,560,448,44.8,270,297,20,15,629.2
4000,560,448,44.8,270,297,25,15,752.8
4000,560,448,129.92,270,42,15,9,208.5
4000,560,448,129.92,270,42,20,9,222.9
4000,560,448,129.92,270,42,25,9,230.9
4000,560,448,129.92,270,42,15,12,430.2
4000,560,448,129.92,270,42,20,12,481.8
4000,560,448,129.92,270,42,25,12,511.1
4000,560,448,129.92,270,42,15,15,674.7
4000,560,448,129.92,270,42,20,15,803.8
4000,560,448,129.92,270,42,25,15,902.1
